,lat,lon,setor
6800,-49.24769481,-25.44677028,10
6801,-49.25080841,-25.44259871,10
6802,-49.25105518,-25.442279,10
6803,-49.25129121,-25.44222087,10
6804,-49.25193494,-25.44206585,10
6805,-49.25224188,-25.44191733,10
6806,-49.25250304,-25.44178483,10
6807,-49.25272048,-25.44164091,10
6808,-49.25327605,-25.4413586,10
6809,-49.25361937,-25.44125203,10
6810,-49.25414508,-25.44106795,10
6811,-49.25475663,-25.44090324,10
6812,-49.255454,-25.44073854,10
6813,-49.25584024,-25.44073854,10
6814,-49.2561621,-25.44072885,10
6815,-49.25654834,-25.44063197,10
6816,-49.25688094,-25.44046726,10
6817,-49.25711697,-25.440351,10
6818,-49.25741738,-25.44003128,10
6819,-49.2576856,-25.43969218,10
6820,-49.25783009,-25.43946229,10
6821,-49.25784841,-25.4394381,10
6822,-49.2578484,-25.43943316,10
6823,-49.2579109,-25.43933371,10
6824,-49.25810402,-25.43909149,10
6825,-49.25830787,-25.43882021,10
6826,-49.2583186,-25.43860706,10
6827,-49.25832933,-25.43824858,10
6828,-49.25837224,-25.43786103,10
6829,-49.25850099,-25.43753162,10
6830,-49.25879067,-25.43725064,10
6831,-49.25905889,-25.43682434,10
6832,-49.25944513,-25.43645616,10
6833,-49.25967619,-25.43625878,10
6834,-49.25981553,-25.4361644,10
6835,-49.25982387,-25.43613263,10
6836,-49.25984209,-25.43611706,10
6837,-49.25992793,-25.43582639,10
6838,-49.26015323,-25.43574888,10
6839,-49.26023906,-25.43539039,10
6840,-49.26035708,-25.43510941,10
6841,-49.26101113,-25.43536833,10
6842,-49.26115995,-25.43543304,10
6843,-49.26132267,-25.43554541,10
6844,-49.26173037,-25.43566168,10
6845,-49.26179474,-25.43578763,10
6846,-49.26292127,-25.43614612,10
6847,-49.26345771,-25.4363399,10
6848,-49.26464861,-25.43680496,10
6849,-49.26522797,-25.43703749,10
6850,-49.26561421,-25.43719251,10
6851,-49.26592534,-25.4372894,10
6852,-49.26616138,-25.4373766,10
6853,-49.26664418,-25.43758006,10
6854,-49.26704114,-25.43777383,10
6855,-49.26748103,-25.4378901,10
6856,-49.26770633,-25.43796761,10
6857,-49.26860755,-25.43828733,10
6858,-49.26924055,-25.43857799,10
6859,-49.26970727,-25.43875876,10
6860,-49.26985982,-25.43884295,10
6861,-49.27009585,-25.43893015,10
6862,-49.2706001,-25.43910457,10
6863,-49.27090242,-25.43922166,10
6864,-49.27124384,-25.43937582,10
6865,-49.27162897,-25.43950306,10
6866,-49.27257214,-25.43986835,10
6867,-49.27282098,-25.43999589,10
6868,-49.2733395,-25.44016554,10
6869,-49.27406853,-25.44044789,10
6870,-49.27435726,-25.44053169,10
6871,-49.27440885,-25.44054813,10
6872,-49.27441835,-25.44054942,10
6873,-49.27466935,-25.44062228,10
6874,-49.2749483,-25.44073854,10
6875,-49.27514258,-25.44082343,10
6876,-49.27525642,-25.44087754,10
6877,-49.27533208,-25.44090623,10
6878,-49.27627867,-25.44131985,10
6879,-49.27761316,-25.44188844,10
6880,-49.2776122,-25.44188937,10
6881,-49.2776144,-25.44189938,10
6882,-49.27762013,-25.44191809,10
6883,-49.27799468,-25.44205099,10
6884,-49.27858759,-25.44227811,10
6885,-49.2786012,-25.44227315,10
6886,-49.27860423,-25.4422851,10
6887,-49.27868685,-25.44231716,10
6888,-49.27977567,-25.44273961,10
6889,-49.27979012,-25.44273131,10
6890,-49.27979573,-25.44274838,10
6891,-49.28090531,-25.44317569,10
6892,-49.28092039,-25.44316997,10
6893,-49.28092541,-25.44318722,10
6894,-49.28199297,-25.44358359,10
6895,-49.28236053,-25.44372973,10
6896,-49.28237553,-25.44372288,10
6897,-49.2823784,-25.44373652,10
6898,-49.28267142,-25.44384176,10
6899,-49.28268178,-25.44383517,10
6900,-49.28268797,-25.44384717,10
6901,-49.28435542,-25.44448587,10
6902,-49.28436275,-25.44448294,10
6903,-49.28436396,-25.44449051,10
6904,-49.28641404,-25.44528249,10
6905,-49.28644398,-25.44530459,10
6906,-49.28648544,-25.44534744,10
6907,-49.28649877,-25.44535219,10
6908,-49.28653121,-25.44531602,10
6909,-49.28656348,-25.44528005,10
6910,-49.2865992,-25.44520994,10
6911,-49.28661054,-25.44519515,10
6912,-49.287898,-25.44570862,10
6913,-49.28816622,-25.44590238,10
6914,-49.28977555,-25.44648366,10
6915,-49.29196238,-25.44731061,10
6916,-49.29208862,-25.44735976,10
6917,-49.29209042,-25.44735903,10
6918,-49.29210694,-25.44736527,10
